lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR,depth
-88,-145,,,,,,,,,5
-88,-144,,,,,,,,,5
-88,-143,,,,,,,,,5
-88,-142,,,,,,,,,5
-88,-141,,,,,,,,,5
-88,-140,,,,,,,,,5
-88,-139,,,,,,,,,5
-88,-138,,,,,,,,,5
-88,-137,,,,,,,,,5
-88,-136,,,,,,,,,5
-88,-135,,,,,,,,,5
-88,-134,,,,,,,,,5
-88,-133,,,,,,,,,5
-88,-132,,,,,,,,,5
-88,-131,,,,,,,,,5
-88,-130,,,,,,,,,5
-88,-129,,,,,,,,,5
-88,-128,,,,,,,,,5
-88,-127,,,,,,,,,5
-88,-126,,,,,,,,,5
-88,-125,,,,,,,,,5
-88,-124,,,,,,,,,5
-88,-123,,,,,,,,,5
-88,-122,,,,,,,,,5
-88,-121,,,,,,,,,5
-88,-120,,,,,,,,,5
-88,-119,,,,,,,,,5
-88,-118,,,,,,,,,5
-88,-117,,,,,,,,,5
-88,-116,,,,,,,,,5
-88,-115,,,,,,,,,5
-88,-114,,,,,,,,,5
-88,-113,,,,,,,,,5
-88,-112,,,,,,,,,5
-88,-111,,,,,,,,,5
-88,-110,,,,,,,,,5
-88,-109,,,,,,,,,5
-88,-108,,,,,,,,,5
-88,-107,,,,,,,,,5
-88,-106,,,,,,,,,5
-88,-105,,,,,,,,,5
-88,-104,,,,,,,,,5
-88,-103,,,,,,,,,5
-88,-102,,,,,,,,,5
-88,-101,,,,,,,,,5
-88,-100,,,,,,,,,5
-88,-99,,,,,,,,,5
-88,-98,,,,,,,,,5
-88,-97,,,,,,,,,5
-88,-96,,,,,,,,,5
-88,-95,,,,,,,,,5
-88,-94,,,,,,,,,5
-88,-93,,,,,,,,,5
-88,-92,,,,,,,,,5
-88,-91,,,,,,,,,5
-88,-90,,,,,,,,,5
-88,-89,,,,,,,,,5
-88,-88,,,,,,,,,5
-88,-87,,,,,,,,,5
-88,-86,,,,,,,,,5
-88,-85,,,,,,,,,5
-88,-84,,,,,,,,,5
-88,-83,,,,,,,,,5
-88,-82,,,,,,,,,5
-88,-81,,,,,,,,,5
-88,-80,,,,,,,,,5
-88,-79,,,,,,,,,5
-88,-78,,,,,,,,,5
-88,-77,,,,,,,,,5
-88,-76,,,,,,,,,5
-88,-75,,,,,,,,,5
-88,-74,,,,,,,,,5
-88,-73,,,,,,,,,5
-88,-72,,,,,,,,,5
-88,-71,,,,,,,,,5
-88,-70,,,,,,,,,5
-88,-69,,,,,,,,,5
-88,-68,,,,,,,,,5
-88,-67,,,,,,,,,5
-88,-66,,,,,,,,,5
-88,-65,,,,,,,,,5
-88,-64,,,,,,,,,5
-88,-63,,,,,,,,,5
-88,-62,,,,,,,,,5
-88,-61,,,,,,,,,5
-88,-60,,,,,,,,,5
-88,-59,,,,,,,,,5
-88,-58,,,,,,,,,5
-88,-57,,,,,,,,,5
-88,-56,,,,,,,,,5
-88,-55,,,,,,,,,5
-88,-54,,,,,,,,,5
-88,-53,,,,,,,,,5
-88,-52,,,,,,,,,5
-88,-51,,,,,,,,,5
-88,-50,,,,,,,,,5
-88,-49,,,,,,,,,5
-88,-48,,,,,,,,,5
-88,-47,,,,,,,,,5
-88,-46,,,,,,,,,5
-88,-45,,,,,,,,,5
-88,-44,,,,,,,,,5
-88,-43,,,,,,,,,5
-88,-42,,,,,,,,,5
-88,-41,,,,,,,,,5
-88,-40,,,,,,,,,5
-88,-39,,,,,,,,,5
-88,-38,,,,,,,,,5
-88,-37,,,,,,,,,5
-88,-36,,,,,,,,,5
-88,-35,,,,,,,,,5
-88,-34,,,,,,,,,5
-88,-33,,,,,,,,,5
-88,-32,,,,,,,,,5
-88,-31,,,,,,,,,5
-88,-30,,,,,,,,,5
-88,-29,,,,,,,,,5
-88,-28,,,,,,,,,5
-88,-27,,,,,,,,,5
-88,-26,,,,,,,,,5
-88,-25,,,,,,,,,5
-88,-24,,,,,,,,,5
-88,-23,,,,,,,,,5
-88,-22,,,,,,,,,5
-88,-21,,,,,,,,,5
-88,-20,,,,,,,,,5
-88,-19,,,,,,,,,5
-88,-18,,,,,,,,,5
