lat	lon	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	temperature	si	phosphate	din	irradiance	FID
-46	57	49002			9.0118472694	1.6270072334	1.3398122243	12.5823253381	4.8533977841	SANT
-46	57	21691			8.3701478515	2.3334015457	1.3931177755	14.4532451929	1.798007018	SANT
-46	57	34555			7.4902835008	3.0202557552	1.7358785728	16.6240092751	0.6660960796	SANT
-46	57	11135			6.3114393602	7.0507894817	1.6746646693	18.8253345009	0.1501948772	SANT
-45	-22	27183			11.0705471987	1.0010495028	0.7387293014	8.5002523531	27.5543042793	SSTC
-45	-22	16084			10.9005746187	1.0961317117	0.6756912471	9.3752660315	11.0691125409	SSTC
-45	-22	12074			10.4374120406	1.3481713913	0.7196343396	10.530661428	1.7863210214	SSTC
-45	-22	1209			8.2007258378	2.6766970149	1.0747720761	15.2667063518	0.0854484165	SSTC
-45	-22	143			7.2108635715	5.0779367784	1.2796598595	18.7244436126	0.0040874131	SSTC
-45	-14	35034			9.8100949897	1.1987702921	0.9828507525	12.858155032	28.7701312142	SANT
-45	-14	31473			9.7082279405	0.3520040484	0.7319401389	9.9522403717	13.1390442364	SANT
-45	-14	33353			9.3302269788	0.3364246632	0.7288349516	10.1086452484	2.7403601234	SANT
-45	-14	210			7.4196379312	1.9953567413	0.9898430011	13.2337423156	0.2010083413	SANT
-45	-14				6.3333276574	4.4684733748	1.2044313494	16.8276029785	0.0147441765	SANT
-45	5	426690			7.4746769612	4.9163281527	1.2431592664	19.7041188827	21.7234599184	SSTC
-45	5	477189			7.408761622	3.0221248941	1.2711352133	17.9869554473	10.80918743	SSTC
-45	5	166000			7.3059015954	2.868732345	1.2892965043	18.183351017	2.6762159125	SSTC
-45	5	1806			7.2076198419	2.7745583403	1.2861537449	17.8862588956	0.6625966713	SSTC
-45	5	2837			6.6456171972	2.851906604	1.2972345389	18.04889844	0.0406167764	SSTC
-45	5	1892			6.1851348444	3.6087291398	1.3185374768	17.6261000162	0.0012388699	SSTC
-45	57	19258			10.8950617471	0.8826302776	1.1814588224	8.6332471586	14.8865216349	SANT
-45	57	32710			10.5233011155	0.7852328078	1.2208188106	8.902697383	5.9444306574	SANT
-45	57	38684			9.810453003	1.9367040716	1.2912709291	11.1542799308	2.3737080231	SANT
-45	57	33047			8.853416004	2.1660394753	1.5742086284	13.6200810865	0.947860292	SANT
-45	57	17360			7.6607014865	5.3884496921	1.5355760185	15.4856056074	0.2391772558	SANT
-45	100	106700			10.5229492138	1.9599969488	0.8604295561	10.6817885102	10.4341308448	SANT
-44	-56	323.782			8.0330756806	5.5790375714	1.046685705	17.8505801757	26.8978586119	SSTC
-44	-56	199.716			7.7163096495	4.7580900554	0.9818239954	15.1327783426	3.3020687632	SSTC
-44	-56	95.319			7.243251752	5.5300441011	1.0688084776	13.4672339361	0.616652985	SSTC
-44	-55	112.7185			13.7845010819	1.5206598336	0.4086200735	9.0123227113	15.0476640329	SSTC
-44	-55	36.32			13.3568119363	1.8751870185	0.5023813062	14.1073979559	2.2506475698	SSTC
-44	-55	33.286			12.1579326581	1.6767510598	0.7209742137	18.6609528219	0.4922414938	SSTC
-44	57	15022			12.5075976877	0.3132419776	1.0289196323	5.4357657525	12.1484891123	SANT
-44	57	34367			12.1180520001	0.2724736492	1.0708878058	5.5323850448	3.873689031	SANT
-44	57	34524			11.4227751244	1.8015003245	1.1484414066	8.1080948021	1.2351714333	SANT
-44	57	28645			10.4703144109	1.645733142	1.343773151	10.686660939	0.3938489789	SANT
-44	57	2916			9.2562612628	3.968100873	1.3281533151	12.2936397953	0.0709142398	SANT
-43	-55	86.241			8.9935660768	2.6018305021	0.7930063626	10.3810478225	40.4969978333	SSTC
-43	-55	89.267			8.7682361016	3.6237080589	0.8545377967	13.6308223768	5.0783493796	SSTC
-43	3	9740			11.2597473032	0.9015184118	0.8383920499	9.9521709153	15.7754097416	SSTC
-43	113	98920			12.394594363	2.5744753072	0.7467419884	8.8685816751	23.2831628255	SSTC
-42	-42	116185		2549	13.2914710306	1.8813675126	0.4228831772	2.0800810639	7.1875727333	SSTC
-42	-42	62052		2253	13.2773191658	1.9261939221	0.4321300207	2.0802470859	3.716766183	SSTC
-42	-42	77291		1840	13.1918791573	2.136497657	0.3964204244	2.7690576479	1.3821008176	SSTC
-42	-42	66720		2383	12.7638437431	1.9250416387	0.7160531851	6.6183581393	0.1911123222	SSTC
-42	-42	17653		2965	12.0618332297	2.430768781	0.4407297019	9.0809833741	0.0710662129	SSTC
-42	57	12635			15.3929790665	0.1453848349	0.6777240722	1.2972507544	13.3434585274	SANT
-42	57	82101			15.0383280711	0.1792723396	0.7032551527	1.2680925775	4.4683969811	SANT
-42	57	21179			14.4977959355	1.8088498669	0.7581712916	3.5792194059	1.496356551	SANT
-42	57	16992			13.6616976051	1.7068579049	0.7951661377	5.8856832271	0.5010931073	SANT
-42	57	18809			12.4694114886	2.4610711059	0.8009767363	7.7884522047	0.0971054127	SANT
-41	-46	6030			17.2488296651	1.1250282968	0.2998412874	0.6242069071	30.9046369109	SATL
-41	43	29080			15.9819626577	1.1076398542	0.3524550018	3.3259467125	10.4895171003	SSTC
-41	105	26540			14.061003621	0.8783098126	0.4716610666	3.9447528295	15.6384884093	SSTC
-41	109	98490			14.5007546962	1.1749360979	0.5439944141	5.4311467213	15.2733514831	SSTC
-41	142				16.0424194805	0.8558819979	0.2595996673	2.5427523842	33.556476593	SSTC
