Gephyrocapsa huxleyi HET,lat,lon
69598.0,-1,-9
375.0,-1,141
375.0,-1,141
231.0,-1,141
232.0,-1,141
220.0,-1,141
220.0,-1,141
180.0,-1,141
180.0,-1,141
198.0,-1,141
199.0,-1,141
115.0,-1,149
514.0,-1,173
190.5,-1,176
17045.0,0,-156
4300.0,0,-155
1619.0,0,-26
1610.0,0,-26
6830.0,0,-26
2440.0,0,-26
4985.0,0,-26
1710.0,0,-26
85.0,0,175
8662.5,1,-156
8539.0,1,-130
24437.0,1,-125
12186.0,1,-121
3104.0,1,-118
8838.0,1,-113
11021.0,1,-107
3618.0,1,-104
3284.0,1,-101
20.0,1,-26
9079.5,1,-26
3030.0,1,-26
13617.0,1,-26
7565.0,1,-26
18156.0,1,-26
56703.0,1,-26
3318.0,1,93
48.0,1,142
14.0,1,144
13.0,1,151
648.0,1,166
879.0,1,174
207.5,1,175
181.0,1,178
958.0,2,-166
6677.5,2,-155
7151.0,2,-150
13938.0,2,-149
498.0,2,-139
12464.0,2,-135
3991.0,2,-81
12860.5,2,-25
39338.0,2,-25
493.0,2,64
789.0,2,64
197.0,2,64
4892.0,2,90
1584.0,2,91
194.0,2,124
24.0,2,139
59.0,2,141
197.3333333333333,2,141
318.6666666666667,2,141
142.0,2,141
28.0,2,141
2560.0,3,-158
2686.0,3,-156
9700.0,3,-155
1117.0,3,-130
1098.0,3,-98
1475.0,3,-27
3983.1,3,-26
7100.2,3,-26
7544.0,3,-26
500.7,3,-26
800.4,3,-26
60.0,3,-13
4320.0,3,86
11949.0,3,87
5610.0,3,88
6140.0,3,89
68.0,3,174
255.0,4,-166
520.0,4,-156
760.0,4,-155
10848.0,4,84
6743.0,4,85
425.0,4,170
94.5,4,173
31.5,5,-155
301.0,5,-128
1500.0,5,-25
4540.0,5,-25
1510.0,5,-24
1060.0,5,-17
12236.0,5,81
10198.5,5,82
6681.0,5,83
436.5,5,172
3795.0,6,-150
361.0,6,-91
4270.0,6,-29
4560.2,6,-27
4193.8,6,-27
8765.7,6,-27
343.4,6,-27
626.8,6,-27
8321.5,6,-24
3782.5,6,-24
1339.5,6,64
2346.0,6,64
177.0,6,64
48.0,6,171
160.0,6,172
281.0,6,173
340.0,7,-179
35.0,7,-156
48.0,7,-155
203.0,7,-126
178.0,7,-84
262.0,7,-80
861.0,7,-28
2044.0,7,-28
2156.0,7,-28
6867.0,7,-28
640.0,7,-28
2449.4,7,-27
7100.2,7,-27
5141.5,7,-27
489.2,7,-27
476.2,7,-27
3026.0,7,-23
4540.0,7,-23
12100.0,7,-23
2269.5,7,-23
510.0,7,78
18.0,7,120
54.0,7,171
130.0,8,-155
655.0,8,-138
705.0,8,-31
816.0,8,-31
924.0,8,-31
1787.0,8,-31
333.0,8,-31
332.0,8,74
373.5,8,171
179.0,8,176
189.0,9,-156
